complaint_id,customer_id,complaint_type,complaint_date,status,resolution_days,priority
46,33183,Billing Dispute,2024-09-02 22:13:41,Open,,Medium
47,1882,Porting Issue,2026-02-13 07:07:32,Resolved,13,Critical
48,21187,Data Not Working,2024-03-29 13:45:56,Escalated,,Medium
49,21489,Signal Not Available,2024-04-30 03:16:31,Resolved,6,Low
50,7639,Signal Not Available,2026-05-29 16:29:39,Open,,Critical
51,37583,Wrong Plan Charged,2024-12-12 09:51:14,Open,,Critical
52,16991,Signal Not Available,2023-03-10 06:56:04,Closed,8,High
53,25605,SIM Activation,2023-07-04 11:11:30,In Progress,,Medium
54,27739,SIM Activation,2026-01-22 16:55:43,Resolved,4,Critical
55,6926,Wrong Plan Charged,2023-05-22 03:35:13,Resolved,10,Medium
56,4571,SIM Activation,2023-11-15 16:33:15,Escalated,,Low
57,2543,Wrong Plan Charged,2026-04-29 11:43:20,In Progress,,Low
58,1105,Customer Service,2024-09-04 13:03:48,Open,,Critical
59,38754,Porting Issue,2024-03-05 01:07:03,Escalated,,Low
60,32008,SIM Activation,2024-01-18 03:11:59,Closed,0,Medium
61,21941,Billing Dispute,2024-10-17 11:42:23,In Progress,,High
62,27532,Slow Internet,2024-03-11 23:52:55,Escalated,,Medium
63,30564,SIM Activation,2023-04-14 05:24:51,Resolved,13,High
64,23921,Customer Service,2023-07-22 14:58:24,Open,,High
65,1673,Slow Internet,2023-12-19 05:19:46,Closed,8,Medium
66,38312,Slow Internet,2023-11-26 11:15:02,Closed,15,High
67,42132,Network Issue,2023-01-19 04:14:06,Closed,3,Medium
68,19461,Wrong Plan Charged,2024-02-01 01:16:28,Closed,12,Low
69,36012,Recharge Failure,2024-04-27 06:20:16,Closed,5,Medium
70,39760,Customer Service,2023-03-16 02:59:06,Closed,8,Low
71,3008,Slow Internet,2023-07-15 00:34:29,In Progress,,Medium
72,8176,Slow Internet,2025-09-21 22:54:22,In Progress,,Medium
73,10768,Recharge Failure,2024-04-15 19:18:58,Open,,Critical
74,42964,Wrong Plan Charged,2023-08-05 10:03:47,Closed,14,Critical
75,297,Customer Service,2025-10-10 13:01:57,Resolved,12,Critical
76,42684,Billing Dispute,2025-06-04 21:50:15,Open,,Medium
77,36714,Wrong Plan Charged,2026-03-23 19:42:04,Escalated,,Medium
78,17615,Call Drop,2025-05-02 14:29:14,Open,,Medium
79,3573,Call Drop,2023-04-26 22:10:20,In Progress,,Critical
80,49467,Call Drop,2023-05-12 02:32:13,Closed,8,Low
81,22233,Refund Request,2023-12-14 12:49:54,Closed,7,High
82,15184,Signal Not Available,2023-12-22 10:00:08,In Progress,,Critical
83,30387,Billing Dispute,2026-02-05 02:27:33,Escalated,,Low
84,39939,Slow Internet,2024-06-02 05:18:02,Open,,High
85,26015,Network Issue,2025-08-09 22:39:09,In Progress,,Low
86,16217,Porting Issue,2026-02-10 04:00:25,In Progress,,Low
87,2122,Refund Request,2024-02-11 03:35:37,In Progress,,Critical
88,1001,Wrong Plan Charged,2025-06-03 11:05:11,Escalated,,Medium
89,23149,Porting Issue,2024-06-29 19:26:50,Closed,7,High
90,15191,Data Not Working,2025-05-24 13:14:56,Resolved,3,Critical
91,44175,Customer Service,2025-07-24 02:57:09,In Progress,,Low
92,16283,Billing Dispute,2024-05-02 04:45:09,Open,,Medium
93,30957,Wrong Plan Charged,2023-02-28 05:28:21,Closed,11,Medium
94,5887,Billing Dispute,2025-04-10 14:45:00,Escalated,,Low
95,21015,Refund Request,2026-01-28 14:49:44,Resolved,4,Critical
96,41166,Network Issue,2025-08-01 00:59:51,Resolved,3,Low
97,17393,Billing Dispute,2025-08-10 16:53:54,Resolved,4,High
98,27829,Slow Internet,2026-01-27 17:18:37,Closed,11,Low
99,36599,Wrong Plan Charged,2025-07-27 18:57:07,Escalated,,High
100,14263,Refund Request,2026-03-11 23:10:54,In Progress,,High
101,3630,Slow Internet,2023-08-09 16:42:01,Escalated,,Critical
102,44025,Signal Not Available,2023-02-17 02:23:21,Resolved,0,Medium
103,24472,Signal Not Available,2024-02-02 12:32:29,Open,,High
104,11923,Recharge Failure,2024-11-15 06:30:41,Closed,2,Low
105,14477,Signal Not Available,2023-11-18 15:51:59,Closed,12,Low
106,49587,Call Drop,2023-09-05 21:13:03,Open,,Low
107,6823,Slow Internet,2025-01-07 11:05:20,Escalated,,Low
108,420,Porting Issue,2024-11-26 00:51:08,Resolved,8,Low
109,4833,Refund Request,2024-08-28 02:41:33,Open,,Medium
110,32572,Network Issue,2024-09-05 05:49:41,Closed,0,Medium
111,42497,Call Drop,2025-06-10 08:01:56,Resolved,1,Medium
112,32881,Recharge Failure,2026-03-12 17:00:33,Resolved,12,High
113,20296,Billing Dispute,2025-11-26 02:29:19,Closed,15,Medium
114,49058,Signal Not Available,2026-06-15 20:45:11,Escalated,,Critical
115,2398,Network Issue,2025-10-17 12:31:32,Open,,Medium
116,25454,Porting Issue,2024-04-01 13:22:27,Resolved,10,Low
117,30593,SIM Activation,2026-07-26 08:54:56,Resolved,14,Critical
118,79,Call Drop,2024-09-24 06:28:22,Open,,Low
119,21061,Refund Request,2025-07-14 18:43:05,In Progress,,Low
120,22218,Data Not Working,2023-10-15 05:23:38,Escalated,,Critical
121,39150,Customer Service,2023-12-23 01:06:13,Open,,Critical
122,39871,SIM Activation,2024-09-15 11:35:17,Escalated,,High
123,46282,Customer Service,2025-11-18 20:37:02,Resolved,4,High
124,35417,Wrong Plan Charged,2024-11-13 08:57:38,In Progress,,Medium
125,17793,Porting Issue,2024-12-26 09:15:38,Closed,14,Critical
126,39885,Signal Not Available,2023-12-20 13:48:45,Closed,9,Critical
127,6579,Data Not Working,2023-02-16 15:51:18,Resolved,6,High
128,26319,Refund Request,2024-05-03 23:44:29,Escalated,,Critical
129,18178,Signal Not Available,2026-07-23 08:11:27,Escalated,,Medium
130,30076,Slow Internet,2026-03-26 00:02:43,In Progress,,High
131,45260,Wrong Plan Charged,2026-02-14 14:18:16,In Progress,,High
132,45121,Data Not Working,2023-10-31 14:37:44,Closed,11,Critical
133,7475,Recharge Failure,2025-12-24 21:44:55,Closed,6,Medium
134,43966,Signal Not Available,2023-02-02 20:13:50,Closed,0,Medium
135,20390,Wrong Plan Charged,2023-03-23 12:27:45,Open,,High
136,31965,SIM Activation,2025-03-07 11:52:46,Closed,10,High
137,18331,Call Drop,2025-04-21 10:04:58,Closed,15,Medium
138,23790,Refund Request,2025-05-26 21:55:07,Closed,12,Critical
139,49218,Signal Not Available,2026-03-23 22:36:36,Escalated,,Medium
140,27968,Porting Issue,2023-05-30 03:43:44,Open,,Medium
141,48208,Billing Dispute,2023-05-20 13:23:06,Closed,7,Critical
142,15436,Call Drop,2023-05-22 20:24:56,Closed,13,Medium
143,39620,Porting Issue,2023-12-23 03:25:08,In Progress,,Medium
144,37170,Porting Issue,2025-08-16 17:29:37,Escalated,,Medium
145,33216,Recharge Failure,2023-12-03 03:51:10,In Progress,,High
146,4688,Network Issue,2024-06-21 12:24:54,In Progress,,Critical
147,11702,Customer Service,2026-04-29 17:40:46,Resolved,3,Medium
148,32619,Slow Internet,2023-11-05 06:52:50,Closed,12,Medium
149,27898,Billing Dispute,2023-04-14 02:02:34,Open,,Low
150,49252,Slow Internet,2026-02-17 01:33:43,Resolved,2,Critical
151,9992,Recharge Failure,2023-05-10 23:44:51,Closed,14,High
152,28122,Refund Request,2025-12-15 07:34:51,Resolved,1,Medium
153,13521,Customer Service,2024-03-17 00:31:15,Escalated,,Critical
154,1430,Refund Request,2024-11-29 04:43:46,In Progress,,Low
155,14441,Billing Dispute,2024-05-29 04:22:19,Resolved,11,Critical
156,7473,Data Not Working,2025-10-15 23:37:03,Resolved,11,Low
157,39714,Porting Issue,2026-07-16 16:33:22,In Progress,,Medium
158,4779,Signal Not Available,2023-04-24 12:20:39,In Progress,,Low
159,20660,Wrong Plan Charged,2026-01-29 15:43:15,Open,,Medium
160,21724,Slow Internet,2023-09-27 21:39:23,Escalated,,Medium
161,2596,Refund Request,2023-09-28 23:28:08,In Progress,,Critical
162,1119,Customer Service,2025-12-24 00:38:53,In Progress,,Low
163,8721,Network Issue,2025-06-01 19:01:48,Open,,Low
164,46225,Data Not Working,2024-12-07 15:47:40,In Progress,,Low
165,44462,Slow Internet,2023-06-26 22:18:49,Closed,11,Critical
166,49397,SIM Activation,2025-02-09 09:03:21,Closed,4,High
167,14336,Network Issue,2023-02-01 16:12:03,In Progress,,Low
168,11100,Signal Not Available,2024-06-13 15:59:03,In Progress,,Critical
169,28453,Porting Issue,2023-04-24 10:16:30,In Progress,,High
170,5757,Billing Dispute,2025-01-19 08:13:44,Open,,High
171,9208,Recharge Failure,2023-12-11 12:11:49,Open,,Critical
172,31464,Signal Not Available,2025-05-02 21:08:26,Escalated,,High
173,45011,Data Not Working,2023-10-29 04:10:46,In Progress,,High
174,22800,Refund Request,2024-09-23 07:17:51,Open,,Medium
175,24854,Data Not Working,2025-07-08 17:24:07,Escalated,,High
176,43527,Slow Internet,2025-11-25 18:07:13,Closed,15,Low
177,14173,Slow Internet,2024-04-30 01:24:23,Resolved,12,Medium
178,15096,Customer Service,2023-04-02 18:28:14,Open,,Medium
179,9723,Recharge Failure,2025-08-05 22:17:32,Escalated,,Critical
180,1094,Call Drop,2026-01-05 01:25:55,Open,,Medium
181,39259,Wrong Plan Charged,2023-01-10 17:23:40,Resolved,8,Critical
182,24827,Porting Issue,2024-08-02 01:20:47,Closed,6,Critical
183,1351,SIM Activation,2025-02-17 07:22:16,In Progress,,Medium
184,36736,Network Issue,2026-05-31 07:44:11,Escalated,,High
185,26859,Slow Internet,2023-05-31 21:53:39,Closed,15,High
186,42459,Recharge Failure,2024-11-01 06:11:59,Resolved,6,Low
187,9951,Slow Internet,2025-10-21 05:18:10,Closed,13,Low
188,30127,Call Drop,2023-11-04 21:22:17,Resolved,9,Low
189,25063,Billing Dispute,2023-09-22 19:29:13,In Progress,,High
190,2702,SIM Activation,2025-09-26 13:10:50,Closed,1,Medium
191,233,Billing Dispute,2025-10-30 23:37:23,Resolved,8,Low
192,48023,Slow Internet,2024-12-02 23:47:42,Escalated,,Low
193,25359,SIM Activation,2025-05-09 22:20:27,In Progress,,Medium
194,49807,Refund Request,2023-01-22 02:51:47,Escalated,,Critical
195,23175,Signal Not Available,2025-12-13 14:34:03,Resolved,3,Medium
196,27388,Network Issue,2023-03-06 14:58:01,Escalated,,Critical
197,4470,Recharge Failure,2025-01-09 19:32:24,Closed,11,High
198,42393,Recharge Failure,2023-08-15 13:23:22,Resolved,11,High
199,19260,Slow Internet,2024-10-16 09:20:39,Escalated,,Medium
200,44448,Refund Request,2025-11-06 07:59:50,In Progress,,Medium
201,24243,Wrong Plan Charged,2023-05-02 06:06:36,In Progress,,Low
202,16029,Wrong Plan Charged,2025-08-19 06:48:57,Open,,High
203,6068,Data Not Working,2026-04-16 19:19:41,Closed,5,Medium
204,42761,Porting Issue,2024-09-04 00:54:18,Closed,10,Critical
205,4109,Network Issue,2026-07-27 15:23:51,Escalated,,Medium
206,13209,Recharge Failure,2025-05-06 05:27:11,Closed,6,Critical
207,24342,Wrong Plan Charged,2024-02-03 20:00:44,Open,,Critical
208,23464,SIM Activation,2025-09-20 10:29:05,Resolved,5,Critical
209,11234,Network Issue,2024-02-22 23:48:06,Open,,Low
210,32181,Customer Service,2023-04-09 06:41:39,Escalated,,High
211,23343,Slow Internet,2023-07-24 18:48:21,Closed,15,High
212,32819,Wrong Plan Charged,2023-02-25 04:03:15,Escalated,,Low
213,3627,Refund Request,2024-03-16 19:28:28,Resolved,13,Low
214,46564,Data Not Working,2023-01-22 22:03:30,In Progress,,Low
215,2969,Wrong Plan Charged,2025-07-27 03:19:48,In Progress,,Low
216,29258,Network Issue,2024-07-23 19:58:03,Resolved,10,High
217,37802,Wrong Plan Charged,2026-02-28 10:57:25,Resolved,6,High
218,25990,Wrong Plan Charged,2026-02-24 21:05:39,Closed,10,Medium
219,28091,SIM Activation,2024-02-20 21:48:27,Closed,5,Critical
220,41604,Wrong Plan Charged,2023-07-13 14:58:36,Closed,5,Low
221,49634,SIM Activation,2023-09-03 05:44:15,Escalated,,Critical
222,9411,Customer Service,2023-02-27 09:01:46,In Progress,,Medium
223,32106,Wrong Plan Charged,2023-09-08 03:05:30,Open,,Low
224,37374,Porting Issue,2026-05-08 19:44:37,Closed,0,High
225,12289,Billing Dispute,2024-11-17 12:12:24,Escalated,,Low
226,32617,Network Issue,2024-03-24 08:05:19,Escalated,,Low
227,12925,Customer Service,2025-06-09 02:26:54,Resolved,8,Low
228,20757,Refund Request,2025-07-15 10:16:24,Resolved,9,Medium
229,25921,Wrong Plan Charged,2024-02-24 22:40:00,Open,,Critical
230,26329,Signal Not Available,2024-11-05 02:32:15,Closed,11,Critical
231,4092,Call Drop,2025-10-04 13:04:13,In Progress,,Low
232,17685,SIM Activation,2025-12-17 06:23:39,Open,,Low
233,12530,Refund Request,2026-05-19 15:57:27,Open,,Low
234,38669,Network Issue,2023-11-05 21:48:34,Escalated,,Critical
235,29963,Billing Dispute,2025-02-23 14:00:58,Escalated,,High
236,29126,Billing Dispute,2024-06-26 10:55:34,Open,,High
237,13450,Billing Dispute,2023-10-19 22:44:48,Escalated,,Medium
238,3872,Customer Service,2023-03-12 00:13:45,Open,,Low
239,3871,Recharge Failure,2023-05-23 17:26:51,In Progress,,Critical
240,39184,Call Drop,2024-06-30 17:01:24,Escalated,,High
241,25530,Customer Service,2025-12-26 19:50:37,Closed,4,Critical
242,41330,Recharge Failure,2023-11-26 19:46:16,Resolved,4,Medium
243,5552,Slow Internet,2025-11-22 17:26:42,Open,,Critical
244,39836,SIM Activation,2023-07-11 20:24:54,Open,,Critical
245,35217,Signal Not Available,2024-02-17 09:52:54,Closed,10,Low
246,40249,Data Not Working,2023-02-21 04:18:30,Escalated,,Low
247,8464,Porting Issue,2023-10-08 07:27:47,Closed,7,High
248,24648,Billing Dispute,2025-06-22 02:42:21,Open,,Critical
249,20742,Signal Not Available,2025-10-03 15:15:24,Closed,0,Critical
250,9859,Porting Issue,2025-10-24 07:32:58,Open,,Low
251,7614,Billing Dispute,2023-10-09 12:25:22,In Progress,,Critical
252,28742,Recharge Failure,2023-04-25 02:04:53,In Progress,,Critical
253,18752,SIM Activation,2025-09-08 05:21:26,Closed,5,Medium
254,29228,Network Issue,2025-07-08 15:15:20,Open,,Critical
255,960,SIM Activation,2024-03-27 09:54:28,In Progress,,Low
256,44786,Porting Issue,2025-05-11 21:26:55,Closed,7,High
257,30008,Wrong Plan Charged,2024-07-03 02:07:33,Escalated,,Medium
258,1141,Refund Request,2026-02-20 18:09:16,Escalated,,Critical
259,4348,Recharge Failure,2023-05-28 14:50:19,Escalated,,Low
260,20420,Slow Internet,2024-08-18 06:12:50,Escalated,,High
261,18448,Slow Internet,2026-06-10 12:35:22,In Progress,,Critical
262,36099,Call Drop,2024-10-06 21:37:05,In Progress,,Critical
263,18768,Porting Issue,2024-09-06 11:25:47,In Progress,,Low
264,42787,Recharge Failure,2024-03-30 02:40:17,Open,,Low
265,45278,Call Drop,2023-12-28 14:20:13,In Progress,,Critical
266,23388,Signal Not Available,2025-03-09 09:24:01,Resolved,2,Critical
267,39890,SIM Activation,2023-10-25 21:40:54,Closed,1,High
268,697,SIM Activation,2025-05-15 07:33:11,In Progress,,Medium
269,24155,Slow Internet,2026-02-11 22:32:38,In Progress,,High
270,26184,Wrong Plan Charged,2026-06-07 13:25:44,In Progress,,High
271,25727,Data Not Working,2023-06-24 10:19:42,Escalated,,Low
272,714,Porting Issue,2023-08-08 13:35:26,Escalated,,Low
273,45282,Wrong Plan Charged,2024-09-23 21:01:30,Closed,5,Critical
274,18056,Refund Request,2024-01-13 09:00:00,Resolved,15,Medium
275,45382,Network Issue,2025-02-23 00:59:44,Resolved,6,High
276,17502,Porting Issue,2023-04-03 20:28:04,In Progress,,Critical
277,17554,Customer Service,2023-08-26 21:41:34,In Progress,,Critical
278,46728,Network Issue,2023-05-23 00:58:36,Open,,Critical
279,28031,SIM Activation,2023-06-03 08:37:31,Open,,Low
280,5281,Billing Dispute,2025-11-16 22:19:41,Escalated,,Critical
281,141,Slow Internet,2025-07-13 21:11:14,Escalated,,High
282,14923,Customer Service,2025-05-17 17:50:35,In Progress,,Critical
283,33252,SIM Activation,2023-03-07 15:52:54,Resolved,13,High
284,15029,Call Drop,2025-12-15 14:32:01,Resolved,4,Low
285,39882,Call Drop,2024-07-06 07:42:43,Resolved,15,High
286,31817,Slow Internet,2025-03-28 17:22:10,Escalated,,Critical
287,11634,Customer Service,2024-04-20 10:57:09,Escalated,,Low
288,21537,Billing Dispute,2026-01-15 19:00:09,Closed,5,Low
289,36748,Signal Not Available,2023-04-14 11:19:43,Closed,5,Low
290,13343,Signal Not Available,2025-06-22 08:03:07,In Progress,,High
291,37334,Data Not Working,2025-11-14 02:40:46,Resolved,14,Critical
292,29465,Porting Issue,2023-10-08 13:04:56,Resolved,14,Medium
293,16377,SIM Activation,2024-08-08 08:11:07,Resolved,15,High
294,33997,Wrong Plan Charged,2025-09-05 02:16:18,Resolved,6,High
295,41835,Wrong Plan Charged,2025-12-18 17:12:09,Closed,9,Medium
296,2799,Customer Service,2026-04-20 14:21:32,Resolved,12,High
297,33331,Customer Service,2025-05-09 23:20:59,Escalated,,Low
298,9171,Call Drop,2023-11-13 04:59:55,Resolved,11,Medium
299,2690,SIM Activation,2026-03-23 19:04:15,Escalated,,Medium
300,1499,Refund Request,2026-02-21 16:24:03,Resolved,6,Low
301,32088,SIM Activation,2023-04-12 17:46:24,Open,,Low
302,41636,Recharge Failure,2024-09-29 14:03:01,In Progress,,Medium
303,30236,Slow Internet,2024-05-26 18:34:26,Resolved,4,Medium
304,1127,Slow Internet,2023-07-07 09:32:52,Escalated,,Medium
305,43855,Recharge Failure,2026-05-16 10:01:56,Resolved,3,High
306,7011,Network Issue,2024-08-21 11:03:09,Resolved,1,High
307,3449,Data Not Working,2026-01-10 01:53:43,Open,,Medium
308,11023,Slow Internet,2025-12-07 08:01:15,Open,,High
309,35283,Porting Issue,2024-04-12 11:57:48,Open,,Critical
310,26628,Customer Service,2025-03-21 12:58:51,Escalated,,Medium
311,37576,Refund Request,2023-01-06 05:46:18,Open,,Critical
312,16436,Network Issue,2026-05-04 20:23:22,Escalated,,Medium
313,3025,Porting Issue,2023-01-20 18:47:16,Closed,7,Critical
314,36207,Recharge Failure,2025-06-16 18:11:02,Closed,6,Critical
315,45745,Data Not Working,2026-06-27 18:24:09,Closed,13,Critical
316,48038,Porting Issue,2026-05-11 13:40:22,Open,,Critical
317,43782,Data Not Working,2023-09-13 19:46:09,Escalated,,Critical
318,27846,Data Not Working,2026-05-20 10:24:08,In Progress,,High
319,20541,Recharge Failure,2026-06-12 22:43:06,Open,,Medium
320,33761,SIM Activation,2025-07-01 20:40:37,Open,,Critical
321,9987,Network Issue,2025-09-19 09:43:33,Closed,10,Critical
322,16048,Customer Service,2023-08-27 20:19:27,Escalated,,Medium
323,22488,Slow Internet,2024-10-26 09:58:34,Open,,Low
324,36863,Porting Issue,2025-11-13 22:35:18,Escalated,,Critical
325,6469,Porting Issue,2026-04-11 03:58:17,Open,,Critical
326,44180,Refund Request,2023-11-19 01:23:04,Escalated,,High
327,19587,Network Issue,2023-06-27 13:36:57,Escalated,,Low
328,14303,Porting Issue,2026-02-26 20:21:26,In Progress,,Critical
329,48290,Billing Dispute,2023-08-01 03:39:03,Open,,Medium
330,13411,Recharge Failure,2024-08-04 18:28:00,Open,,Low
331,31354,Refund Request,2023-07-19 17:38:26,In Progress,,High
332,2654,Signal Not Available,2026-04-10 04:52:07,In Progress,,Critical
333,18118,Slow Internet,2024-08-23 00:44:10,In Progress,,High
334,9096,Slow Internet,2023-11-10 04:11:34,Resolved,8,Critical
335,35045,Wrong Plan Charged,2026-05-23 04:36:30,Open,,Critical
336,23218,Signal Not Available,2025-08-13 17:17:40,Open,,High
337,896,Billing Dispute,2025-06-12 11:08:51,Closed,3,Critical
338,3438,Customer Service,2025-07-21 00:03:50,Open,,High
339,47460,Network Issue,2023-06-06 02:57:01,Open,,Critical
340,3926,Recharge Failure,2025-10-17 21:58:06,Open,,Low
341,27259,Porting Issue,2025-12-17 06:14:40,In Progress,,Critical
342,5858,Customer Service,2024-05-01 11:59:47,Open,,Medium
343,24578,Billing Dispute,2024-09-22 10:12:47,In Progress,,Low
344,7838,Customer Service,2025-06-08 06:11:49,Open,,High
345,24549,Porting Issue,2025-01-02 04:26:12,Escalated,,Medium
346,39184,Slow Internet,2025-03-17 13:41:35,Open,,High
347,41533,SIM Activation,2026-07-25 15:27:32,Open,,Medium
348,21806,Porting Issue,2024-07-12 10:33:14,Closed,5,Critical
349,12568,Data Not Working,2023-02-16 18:06:30,Resolved,8,Critical
350,4089,Billing Dispute,2023-09-03 11:28:40,Escalated,,High
351,3270,Signal Not Available,2024-08-28 19:30:20,Closed,15,Low
352,40286,Billing Dispute,2024-02-08 17:09:47,Escalated,,High
353,34127,Slow Internet,2026-07-18 13:37:04,In Progress,,Medium
354,29174,Signal Not Available,2023-10-13 03:45:16,Resolved,3,Medium
355,16510,Network Issue,2024-11-03 22:31:08,Closed,3,Low
356,28999,Signal Not Available,2024-09-07 11:06:47,Escalated,,Low
357,29519,Network Issue,2024-07-11 11:17:23,Open,,Critical
358,18930,Refund Request,2024-09-19 02:32:25,Open,,Critical
359,26780,Network Issue,2026-06-21 05:36:47,In Progress,,Critical
360,9456,Wrong Plan Charged,2026-03-17 17:49:15,In Progress,,Critical
361,10912,SIM Activation,2023-07-30 10:42:03,Closed,15,Medium
362,41360,Porting Issue,2023-03-01 23:18:45,Escalated,,High
363,28172,Signal Not Available,2025-08-26 06:25:39,Escalated,,High
364,6910,Signal Not Available,2026-03-30 18:44:03,Resolved,7,Medium
365,6424,Recharge Failure,2023-04-18 09:58:19,Closed,2,Medium
366,47899,Refund Request,2025-06-07 01:22:40,Open,,Medium
367,19910,Network Issue,2024-10-06 04:06:46,Open,,Medium
368,47124,Data Not Working,2024-09-12 08:40:40,Open,,Medium
369,6237,Billing Dispute,2025-01-30 13:28:44,Closed,3,Medium
370,41822,Call Drop,2024-11-17 13:24:47,Open,,Low
371,48832,Network Issue,2026-06-01 14:44:21,Escalated,,Medium
372,32645,Signal Not Available,2023-06-25 21:31:51,Closed,7,Medium
373,4557,Billing Dispute,2024-02-26 10:38:10,In Progress,,Critical
374,45646,Signal Not Available,2023-02-03 13:14:30,Resolved,11,High
375,45433,Billing Dispute,2025-01-16 06:01:56,Resolved,7,Low
376,37636,Refund Request,2026-05-29 16:55:41,In Progress,,Critical
377,9889,Data Not Working,2025-04-12 05:33:34,Closed,1,High
378,6112,Recharge Failure,2024-11-12 09:14:58,Resolved,13,Low
379,17742,SIM Activation,2026-04-30 14:54:47,Closed,11,Low
380,39135,SIM Activation,2024-08-24 07:12:54,Resolved,10,Critical
381,38687,Billing Dispute,2025-08-05 21:33:17,Open,,Low
382,32060,SIM Activation,2023-12-11 06:14:42,Resolved,1,Critical
383,10871,Billing Dispute,2026-05-03 20:10:01,Open,,Medium
384,20539,Porting Issue,2023-04-25 19:42:20,In Progress,,Medium
385,12624,Slow Internet,2025-05-28 20:41:54,Resolved,9,Medium
386,8061,Billing Dispute,2023-06-26 18:02:46,Escalated,,Medium
387,42790,Wrong Plan Charged,2024-06-06 13:55:43,Escalated,,Low
388,15717,SIM Activation,2025-02-10 16:42:21,In Progress,,Medium
389,9466,Refund Request,2025-09-30 21:25:45,Escalated,,Critical
390,4939,Porting Issue,2025-02-12 20:03:50,Closed,12,Medium
391,12316,Call Drop,2025-06-02 03:09:22,Resolved,13,Low
392,20199,Signal Not Available,2023-12-13 11:10:01,Closed,7,Critical
393,33762,Wrong Plan Charged,2023-04-07 13:21:36,Closed,10,Medium
394,28073,Refund Request,2025-11-20 16:01:59,Resolved,3,Low
395,15059,Network Issue,2024-09-18 11:23:55,Resolved,15,Low
396,15089,Signal Not Available,2025-03-24 22:30:28,Escalated,,Low
397,17439,Call Drop,2024-10-02 05:17:34,Closed,6,Medium
398,44928,Wrong Plan Charged,2023-04-28 22:51:32,Open,,Low
399,27980,Slow Internet,2026-03-07 06:15:46,Open,,High
400,38668,Recharge Failure,2025-01-01 13:01:41,Resolved,4,Critical
401,6878,Slow Internet,2023-09-15 17:23:25,Open,,Medium
402,14022,Refund Request,2025-05-04 15:35:39,In Progress,,Medium
403,24124,Recharge Failure,2025-07-19 22:17:57,In Progress,,Critical
404,13873,Wrong Plan Charged,2024-04-25 02:46:13,In Progress,,High
405,2628,Slow Internet,2025-06-17 15:06:31,Closed,6,Critical
