tower_id,location_id,tower_type,latitude,longitude,installed_date,status,capacity_mbps
158,3,4G/5G,28.363902,85.605656,2020-11-05,Active,1000
159,42,4G,9.581461,78.621674,2019-07-04,Under Maintenance,100
160,32,4G/5G,31.652222,71.322833,2015-11-27,Active,2000
161,10,4G,11.280981,81.237715,2021-07-25,Inactive,500
162,25,4G/5G,21.794478,78.166878,2021-10-15,Under Maintenance,100
163,8,4G/5G,24.923833,83.841329,2023-01-31,Active,1000
164,29,4G,18.759153,84.893546,2019-06-22,Under Maintenance,100
165,21,5G,16.125613,74.588016,2016-09-17,Under Maintenance,100
166,6,4G,10.423983,71.73816,2023-04-15,Active,250
167,36,4G,23.248092,80.108555,2018-09-12,Active,1000
168,23,4G/5G,32.469377,77.612863,2023-02-01,Active,500
169,39,5G,17.142801,80.402533,2017-05-21,Active,1000
170,15,4G,17.102964,80.012779,2016-04-15,Active,2000
171,15,5G,29.974034,87.541839,2024-03-06,Inactive,2000
172,42,4G/5G,8.6826,86.723517,2024-04-20,Active,100
173,12,5G,26.270168,75.561724,2018-10-23,Active,100
174,12,4G,22.724348,77.214118,2016-08-04,Active,100
175,34,4G,17.781055,78.165624,2016-10-06,Active,500
176,21,4G/5G,23.501818,85.900159,2016-09-29,Active,2000
177,4,4G/5G,10.12112,77.976034,2019-10-03,Under Maintenance,2000
178,29,5G,15.102338,83.588977,2016-04-11,Active,1000
179,8,5G,25.633665,80.676417,2020-11-28,Active,100
180,15,5G,33.595587,70.986075,2017-04-17,Active,250
181,9,5G,15.525625,72.159718,2020-07-30,Under Maintenance,250
182,9,5G,21.847141,74.141993,2021-04-07,Active,100
183,26,4G/5G,9.099859,70.337348,2015-11-15,Active,2000
184,28,4G/5G,18.514995,81.52255,2018-03-31,Active,1000
185,2,5G,12.468703,87.057058,2020-02-28,Active,100
186,28,4G,14.326228,80.599683,2020-11-16,Active,1000
187,20,4G/5G,16.827345,75.995235,2016-11-19,Active,2000
188,41,4G,21.795725,73.490267,2023-09-15,Active,500
189,42,4G,14.14299,72.635996,2017-03-19,Active,2000
190,10,4G/5G,9.959185,87.123259,2022-01-16,Under Maintenance,1000
191,37,4G/5G,19.671537,86.634777,2021-05-01,Inactive,500
192,41,5G,11.924892,71.229153,2019-12-17,Active,500
193,38,4G,17.150498,71.335432,2020-03-06,Under Maintenance,100
194,4,5G,29.624112,71.381158,2024-09-09,Active,2000
195,39,4G/5G,17.996544,80.445929,2023-11-18,Active,1000
196,37,4G/5G,12.894226,80.890105,2020-08-15,Active,100
197,29,4G,29.085137,85.072789,2023-01-04,Active,2000
198,42,4G,9.017695,82.737191,2019-12-05,Inactive,2000
199,40,4G,17.461347,86.522862,2019-05-06,Under Maintenance,500
200,39,4G,28.5199,81.651496,2015-09-27,Active,100
201,36,4G/5G,18.050669,74.535924,2024-07-20,Inactive,250
202,22,4G,23.151227,72.545711,2018-12-03,Active,1000
203,9,4G/5G,26.429684,71.524942,2021-04-08,Under Maintenance,500
204,9,4G/5G,26.273603,87.047955,2022-09-08,Inactive,100
205,42,4G/5G,19.008566,76.512906,2019-01-25,Active,250
206,14,5G,32.639375,78.752877,2017-07-16,Active,250
207,5,5G,29.955138,71.820534,2023-08-24,Inactive,2000
208,3,4G/5G,16.755874,83.793537,2016-06-20,Inactive,1000
209,10,4G,12.701995,82.471222,2022-01-02,Active,1000
210,3,5G,17.471785,82.952542,2019-12-25,Inactive,500
211,29,4G,21.88429,75.570422,2024-01-26,Under Maintenance,250
212,24,4G/5G,32.625384,87.719916,2020-03-06,Active,1000
213,33,4G/5G,18.885181,72.917047,2017-03-28,Inactive,250
214,17,4G,24.670655,85.734105,2021-03-21,Active,2000
215,8,5G,10.180753,72.885622,2020-01-15,Inactive,250
216,28,4G,32.606745,73.996684,2020-01-22,Active,100
217,27,4G,18.307803,76.731307,2019-05-01,Active,500
218,15,4G,16.285807,71.783496,2023-01-06,Active,250
219,9,4G,15.458864,84.935708,2022-10-22,Active,1000
220,29,4G/5G,8.136531,71.426064,2017-11-14,Active,250
221,36,4G/5G,23.830883,77.618586,2023-09-15,Active,250
222,20,4G,9.241486,77.55686,2023-11-26,Inactive,1000
223,5,4G,29.753881,78.996926,2021-01-04,Active,2000
224,37,4G,26.682153,75.242896,2015-01-07,Inactive,500
225,16,4G/5G,18.830757,81.958683,2015-12-17,Inactive,500
226,5,4G/5G,22.146131,84.155422,2020-09-10,Inactive,100
227,25,5G,9.131895,76.963864,2019-03-10,Active,100
228,23,4G,16.964865,83.192938,2022-01-17,Active,2000
229,22,4G,9.152728,79.828247,2024-02-15,Active,1000
230,31,4G/5G,12.739228,72.427346,2023-01-11,Under Maintenance,100
231,19,4G,9.138963,73.590457,2015-06-21,Active,500
232,33,5G,33.71719,79.774553,2017-11-03,Active,250
233,19,5G,30.415602,70.860473,2022-05-09,Active,500
234,8,5G,19.360736,77.200392,2019-12-07,Under Maintenance,500
235,12,5G,25.993781,76.612245,2023-12-10,Inactive,500
236,6,4G/5G,19.036991,77.750929,2024-03-22,Active,2000
237,19,5G,10.667546,75.902558,2018-04-25,Active,1000
238,39,4G/5G,19.079018,82.415767,2018-12-10,Under Maintenance,100
239,23,4G/5G,33.951916,74.941996,2023-11-16,Active,100
240,41,5G,17.446089,84.419728,2022-08-14,Active,100
241,10,4G/5G,25.630311,77.887111,2016-06-01,Active,250
242,42,5G,17.415915,87.090408,2015-05-13,Inactive,250
243,29,5G,17.672348,83.73552,2021-06-08,Active,2000
244,24,5G,16.174021,75.016416,2016-04-09,Active,250
245,32,4G/5G,18.061672,80.110109,2017-12-08,Active,1000
246,14,4G/5G,15.424999,86.49662,2020-07-04,Active,100
247,9,4G,19.75311,86.176223,2019-12-29,Active,500
248,23,4G/5G,9.688416,79.759085,2024-12-29,Active,250
249,41,4G,28.636106,79.157603,2016-05-12,Active,250
250,16,5G,8.683385,79.972386,2019-02-20,Under Maintenance,2000
251,9,4G/5G,30.990408,71.183466,2019-06-19,Under Maintenance,2000
252,27,5G,29.406824,71.327513,2018-07-22,Active,1000
253,30,4G/5G,21.45136,72.310023,2024-04-18,Inactive,2000
254,12,4G,19.248075,86.392821,2015-08-15,Active,2000
255,10,5G,12.281084,75.807894,2022-12-15,Active,500
256,34,5G,29.994276,74.510896,2022-02-14,Inactive,500
257,9,4G/5G,15.87344,79.602605,2020-08-20,Active,2000
258,38,4G,12.451216,81.240625,2021-10-14,Active,2000
259,3,4G,10.111794,87.073843,2023-08-25,Inactive,500
260,42,4G,27.940934,77.498562,2022-03-02,Active,1000
261,41,4G/5G,15.531463,87.219703,2020-06-01,Active,1000
262,20,5G,9.897299,71.078435,2019-12-06,Under Maintenance,1000
263,30,4G,16.845007,72.586036,2024-08-29,Active,500
264,26,4G,27.77729,79.269642,2016-03-10,Active,250
265,30,4G,14.954264,74.46254,2016-02-01,Active,500
266,25,4G/5G,18.871503,87.328345,2016-10-16,Active,2000
267,21,4G,27.841156,78.96878,2020-10-09,Under Maintenance,1000
268,20,5G,8.602584,87.01419,2020-09-01,Under Maintenance,250
269,14,4G/5G,17.175272,70.909727,2020-07-20,Inactive,1000
270,19,4G/5G,8.212613,71.934948,2016-07-02,Active,500
271,26,5G,9.176302,70.920838,2021-04-20,Active,500
272,36,5G,9.911825,79.0766,2023-07-28,Inactive,500
273,40,4G/5G,23.887122,72.315941,2016-02-01,Under Maintenance,500
274,22,4G/5G,32.412663,83.589373,2017-03-26,Inactive,2000
275,26,4G/5G,9.046628,70.700451,2023-01-01,Active,1000
276,34,5G,11.872457,86.07637,2016-07-26,Active,2000
277,21,4G,18.216819,81.097009,2024-06-13,Active,2000
278,22,4G/5G,29.535524,79.582117,2022-12-12,Inactive,500
279,31,4G,17.577303,82.128515,2019-09-03,Inactive,500
280,41,4G,23.51965,74.779548,2022-05-09,Inactive,2000
281,15,4G/5G,9.335234,78.648078,2020-11-17,Inactive,1000
282,10,4G/5G,14.297111,80.306265,2022-11-09,Active,250
283,2,5G,16.156005,72.725763,2022-09-29,Active,1000
284,33,4G/5G,31.933545,85.710719,2023-04-02,Active,250
285,34,4G,22.583056,87.966212,2020-05-13,Inactive,1000
286,21,4G,19.951252,79.596287,2021-02-15,Active,500
287,40,5G,12.998868,74.437344,2021-04-04,Active,250
288,20,5G,26.327424,82.424318,2020-06-25,Active,1000
289,23,4G/5G,32.27621,84.317296,2018-01-25,Active,100
290,37,4G/5G,22.122963,86.123688,2019-06-05,Active,250
291,19,4G,15.478389,82.854543,2018-11-19,Under Maintenance,500
292,31,4G,13.253768,79.694403,2021-04-21,Active,250
293,7,4G/5G,27.263165,74.307077,2015-07-27,Inactive,250
294,41,4G,9.364769,77.439425,2023-01-17,Under Maintenance,100
295,9,4G,33.077488,87.602393,2016-10-08,Under Maintenance,1000
296,31,4G/5G,13.185855,87.350453,2018-08-08,Active,100
297,6,4G/5G,22.927467,79.632741,2023-02-09,Active,250
298,27,4G,32.281988,70.654117,2024-05-18,Under Maintenance,1000
299,12,4G/5G,33.015416,86.668715,2024-10-31,Active,100
300,20,4G/5G,23.672357,86.712187,2018-10-04,Active,1000
301,42,4G/5G,21.632282,86.006679,2016-07-03,Inactive,1000
302,18,4G,29.029161,75.952314,2023-03-14,Under Maintenance,500
303,12,4G,27.152065,84.233818,2021-05-14,Active,250
304,40,4G/5G,31.323112,84.885817,2020-10-11,Active,100
305,26,4G/5G,10.480013,87.670333,2020-05-09,Active,250
306,1,5G,17.972934,78.041239,2017-12-29,Active,500
307,38,4G/5G,22.894811,74.707957,2019-01-12,Active,100
308,8,5G,15.976965,77.297499,2020-08-20,Active,100
309,41,5G,17.556141,73.975286,2016-07-01,Under Maintenance,250
310,30,4G/5G,33.709787,76.725247,2022-11-15,Inactive,1000
311,35,4G/5G,29.465691,83.713473,2022-08-18,Inactive,100
312,34,5G,21.732501,76.512128,2021-04-29,Active,100
313,36,4G/5G,13.256076,79.659883,2016-11-04,Active,2000
314,29,4G,25.687676,82.904523,2020-06-25,Active,2000
315,29,4G,19.78924,79.238461,2020-02-15,Inactive,100
316,36,5G,25.491961,75.547052,2015-03-31,Under Maintenance,500
317,1,4G/5G,13.665434,71.314531,2019-10-02,Active,100
318,35,4G,32.299153,71.242345,2020-04-17,Active,500
319,27,4G,27.993274,83.784898,2023-03-07,Under Maintenance,500
320,25,5G,30.610127,86.321812,2019-03-19,Active,2000
321,9,4G/5G,30.367451,72.135397,2021-01-09,Under Maintenance,2000
322,9,4G/5G,33.446834,85.026789,2023-06-25,Active,500
323,30,4G/5G,26.696443,77.634305,2019-04-03,Active,250
324,30,5G,12.033156,73.392648,2024-10-24,Active,100
325,27,4G/5G,27.91739,85.907619,2015-03-06,Active,250
326,5,4G,23.442548,78.035939,2022-07-15,Active,250
327,3,5G,19.413033,79.715677,2023-06-17,Active,250
328,33,5G,14.088199,86.495147,2021-06-17,Active,2000
329,39,4G/5G,29.277945,74.264273,2024-10-29,Active,2000
330,15,5G,15.813025,71.097237,2021-08-20,Active,1000
331,36,5G,9.218987,76.199467,2022-03-20,Under Maintenance,2000
332,21,4G/5G,18.82444,72.685917,2019-03-22,Active,2000
333,31,4G,30.082864,75.413256,2022-12-08,Active,1000
334,4,4G/5G,18.729615,77.497142,2020-12-10,Active,1000
335,16,5G,13.286755,81.640705,2020-01-17,Active,100
336,35,4G/5G,29.564563,70.927659,2019-03-25,Inactive,2000
337,3,4G,12.892246,83.710536,2023-02-14,Inactive,250
338,31,4G,30.60632,75.993358,2015-03-04,Active,250
339,8,4G/5G,33.988872,78.620576,2017-09-20,Inactive,250
340,26,4G,22.354062,83.95925,2019-04-09,Under Maintenance,2000
341,42,5G,16.018979,76.473603,2024-11-24,Under Maintenance,1000
342,7,4G/5G,20.206751,85.115161,2017-04-12,Active,500
343,27,4G,22.625643,73.982934,2016-08-20,Active,500
344,36,4G/5G,23.057716,77.516405,2016-09-16,Active,500
345,15,5G,22.814527,74.42314,2021-03-05,Active,500
346,32,4G/5G,24.684056,78.83072,2016-11-20,Active,250
347,9,4G/5G,22.210205,73.31286,2024-12-21,Inactive,100
348,34,4G,29.815781,71.337947,2024-03-04,Active,100
349,27,4G,29.906163,74.165801,2022-12-06,Active,100
350,14,4G/5G,19.856251,71.088102,2022-02-25,Inactive,1000
351,32,4G,8.171921,79.929584,2015-02-18,Active,2000
352,18,4G/5G,33.414463,70.308567,2024-02-13,Under Maintenance,250
353,7,4G,21.63402,74.337439,2021-12-13,Inactive,500
354,23,5G,28.668345,71.422346,2019-07-22,Under Maintenance,2000
355,16,4G/5G,13.872289,82.312749,2024-07-04,Active,100
356,6,5G,17.860865,79.948626,2015-08-18,Active,250
357,6,5G,29.978575,81.60833,2018-09-18,Inactive,100
358,34,4G,13.973929,86.222913,2022-10-06,Inactive,1000
359,18,4G,32.028141,82.319717,2018-02-22,Inactive,2000
360,3,4G,32.147925,75.660724,2017-04-28,Inactive,250
361,26,4G,15.781199,80.151248,2021-05-10,Under Maintenance,2000
362,22,5G,27.645841,72.519111,2022-09-24,Active,2000
363,23,4G,10.53983,74.178592,2015-11-08,Active,2000
364,40,4G/5G,18.314279,83.923988,2015-05-02,Active,1000
365,32,4G,17.251091,86.940571,2019-11-04,Active,2000
366,25,4G,28.076353,75.316831,2017-10-06,Active,100
367,18,4G,17.88,84.110025,2016-09-23,Under Maintenance,500
368,24,4G,10.379531,86.973284,2019-12-27,Active,500
369,7,4G,10.269728,77.757631,2021-03-31,Inactive,2000
370,27,4G,8.68281,76.370457,2016-01-17,Inactive,2000
371,21,5G,8.320856,77.448581,2023-09-27,Active,2000
372,16,4G/5G,21.548718,82.335688,2016-11-25,Active,500
373,20,5G,20.821222,71.138809,2019-11-16,Active,1000
374,20,5G,28.349332,76.500248,2017-10-07,Under Maintenance,2000
375,40,4G,19.904402,72.438811,2015-01-28,Under Maintenance,500
376,40,5G,28.905988,75.931751,2018-10-03,Under Maintenance,2000
377,9,5G,16.337294,87.051021,2017-04-02,Under Maintenance,500
378,12,5G,33.186856,75.246067,2022-10-17,Under Maintenance,2000
379,16,5G,17.777438,84.696901,2019-05-29,Active,100
380,37,4G,23.397903,79.821324,2022-08-24,Inactive,100
381,30,4G/5G,13.450858,84.358339,2024-04-27,Active,1000
382,32,4G,24.466737,74.356381,2022-05-21,Active,1000
383,25,4G,19.675735,80.762809,2021-07-12,Under Maintenance,2000
384,33,4G/5G,18.875818,70.661773,2019-01-12,Inactive,2000
385,41,4G,10.843605,74.468157,2022-06-15,Active,250
386,42,4G/5G,9.151714,87.704948,2022-08-06,Under Maintenance,500
387,28,4G,8.274242,74.657291,2020-09-22,Inactive,2000
388,38,4G/5G,22.95612,78.024014,2019-05-22,Under Maintenance,2000
389,33,4G,16.969152,70.442128,2016-03-04,Active,1000
390,6,4G,29.614261,83.142713,2018-11-27,Active,500
391,30,4G,21.548986,76.269405,2016-02-04,Under Maintenance,1000
392,21,4G,15.806866,84.583347,2016-04-16,Active,500
393,42,4G,25.605623,72.958374,2023-04-22,Active,2000
394,12,4G/5G,12.163528,80.077281,2020-03-07,Active,1000
395,41,4G,12.84606,81.831542,2019-06-09,Active,2000
396,13,5G,23.397282,76.999044,2022-11-26,Active,250
397,18,4G/5G,29.026975,71.126148,2016-02-21,Inactive,250
398,24,5G,13.123931,72.051189,2022-07-10,Under Maintenance,2000
399,41,5G,23.521242,81.003552,2021-08-01,Active,500
400,23,5G,24.05143,84.647289,2022-12-01,Active,2000
401,38,4G,25.474862,75.637343,2017-09-04,Active,100
402,12,5G,26.02935,79.194848,2019-09-10,Inactive,250
403,37,5G,18.999008,78.760064,2021-01-10,Active,2000
404,11,5G,15.509704,73.367774,2024-06-10,Under Maintenance,2000
405,4,5G,32.747891,78.722961,2017-03-10,Under Maintenance,2000
406,33,4G/5G,20.869216,82.32454,2019-08-30,Under Maintenance,1000
407,11,4G,22.700343,84.325856,2017-06-22,Active,100
408,18,4G,21.977824,73.027762,2020-02-17,Inactive,1000
409,36,4G/5G,10.943486,72.05572,2023-09-10,Inactive,500
410,35,4G,27.760107,77.944598,2017-06-14,Under Maintenance,100
411,42,4G,15.740432,87.987628,2020-01-17,Active,500
412,6,5G,30.497552,72.112948,2024-02-08,Active,250
413,38,4G/5G,17.116402,82.793571,2022-02-04,Under Maintenance,250
414,40,4G,28.406082,84.643538,2024-01-13,Active,2000
415,23,4G/5G,15.30821,79.697834,2018-08-18,Active,500
416,37,5G,32.762331,79.25947,2022-08-14,Active,250
417,27,4G,33.804642,85.606857,2016-06-03,Active,250
418,10,4G/5G,16.374515,74.455985,2024-06-17,Under Maintenance,1000
419,10,4G/5G,24.442452,81.300631,2019-03-17,Under Maintenance,100
420,41,4G,18.47412,83.496443,2022-10-16,Active,1000
421,32,5G,23.130844,85.64034,2024-07-01,Active,1000
422,41,4G/5G,26.129513,85.301912,2023-12-04,Inactive,1000
423,14,5G,29.446039,78.904869,2018-08-15,Active,500
424,36,4G/5G,11.395451,85.343606,2023-11-03,Active,100
425,3,4G,24.280668,85.060639,2015-03-08,Active,250
426,29,5G,8.017574,87.244572,2017-04-08,Active,500
427,11,5G,10.42684,76.487837,2015-12-04,Active,250
428,4,5G,24.265711,83.067791,2023-06-21,Active,1000
429,42,4G,26.296149,70.019553,2020-05-07,Active,250
430,38,4G,21.505551,78.011204,2015-02-03,Active,100
431,28,4G/5G,11.436554,71.274909,2019-04-19,Active,100
432,7,5G,17.556604,75.386596,2019-04-17,Active,250
433,5,4G/5G,22.645572,80.985746,2016-11-03,Under Maintenance,500
434,14,4G/5G,27.45499,86.558094,2021-11-28,Under Maintenance,250
435,6,4G,11.640342,72.21683,2023-03-10,Under Maintenance,500
436,28,5G,28.567993,74.460155,2022-03-25,Active,250
437,36,4G/5G,23.600205,80.936676,2023-09-26,Active,500
