usage_id,customer_id,tower_id,session_date,data_used_mb,session_duration_min,network_type
48,31685,28,2023-02-01 09:49:25,1315.95,172.4,5G
49,29730,14,2024-07-15 12:17:45,2566.14,289.1,3G
50,17642,492,2024-05-04 22:55:56,3828.71,31.8,5G
51,456,239,2023-12-24 15:41:01,4889.64,99.5,5G
52,45545,387,2024-11-27 18:04:26,491.06,18.9,5G
53,46914,164,2025-09-20 11:37:09,4684.22,207.9,3G
54,28575,439,2025-02-10 23:54:50,2367.86,203.9,3G
55,36511,496,2026-07-11 20:28:58,3621.61,34.4,4G
56,9382,81,2024-01-10 02:02:33,651.03,233.4,4G
57,14968,160,2024-12-21 20:09:16,2181.96,207.7,5G
58,43588,87,2023-11-27 13:21:15,2180.83,206.4,5G
59,4092,48,2024-04-03 22:24:20,3293.33,279.4,4G
60,33719,477,2026-02-09 09:21:33,692.65,293.7,4G
61,10652,440,2025-02-20 05:09:25,3800.02,298.3,3G
62,47778,394,2026-04-29 17:08:59,3468.4,230.8,3G
63,39625,421,2023-10-15 05:15:06,223.93,127.4,3G
64,2359,137,2024-02-11 03:28:37,3131.42,149.2,5G
65,233,207,2023-05-22 00:38:17,3787.84,15.8,4G
66,17043,16,2025-02-04 02:52:17,4799.08,262.7,5G
67,17855,467,2023-03-22 00:34:04,2438.12,21.6,4G
68,25860,82,2026-07-24 21:54:38,3243.94,225.6,4G
69,38543,68,2025-02-09 08:51:20,3865.12,242.0,3G
70,38434,463,2025-09-28 17:11:53,4403.49,276.1,3G
71,32211,363,2024-03-11 15:32:07,3085.49,147.2,3G
72,31845,32,2023-02-24 22:26:35,3620.4,258.2,4G
73,32543,38,2023-06-29 23:12:55,4270.44,284.9,5G
74,49202,132,2025-07-08 04:21:30,190.53,113.0,3G
75,18581,433,2025-02-22 18:31:20,84.9,29.5,5G
76,18799,277,2023-01-18 19:59:23,4831.36,181.7,3G
77,6225,103,2026-07-25 03:49:06,2637.09,73.9,5G
78,36783,385,2024-06-19 19:46:40,3163.03,264.0,3G
79,32454,128,2024-03-07 07:22:47,3429.97,93.6,5G
80,28302,103,2026-02-23 09:20:22,4453.77,190.3,5G
81,37492,103,2023-05-14 09:19:03,4382.24,208.7,5G
82,9024,207,2025-05-05 10:25:51,494.12,257.6,3G
83,44232,238,2024-05-14 07:03:51,4829.76,246.5,4G
84,25867,304,2025-08-04 11:47:54,3491.73,55.0,4G
85,29969,84,2025-07-13 03:56:30,1157.39,31.4,5G
86,9264,406,2025-01-29 00:56:33,3280.82,254.7,5G
87,325,215,2026-04-23 14:18:18,3168.9,45.3,5G
88,43730,38,2023-03-06 10:08:56,527.87,37.2,5G
89,40397,424,2024-05-20 23:57:53,4367.39,265.9,4G
90,6350,129,2023-05-17 04:58:55,2873.51,294.3,4G
91,14442,14,2026-01-04 21:13:13,4055.17,172.7,4G
92,430,299,2025-02-12 22:36:24,2204.61,157.4,3G
93,46953,250,2025-11-20 13:09:17,4014.11,86.5,5G
94,28449,402,2023-08-25 01:51:18,4316.29,252.6,4G
95,1241,217,2025-06-08 22:41:39,4757.76,136.2,3G
96,7309,322,2024-06-07 05:01:13,379.72,60.9,4G
97,48650,97,2025-02-24 03:06:37,3242.42,230.1,4G
98,12851,330,2026-06-15 17:26:05,3121.31,52.0,5G
99,37030,203,2025-11-04 20:48:09,4521.6,165.4,3G
100,13247,19,2025-07-30 05:08:43,1192.01,222.0,5G
101,15272,375,2025-03-03 20:39:05,536.36,51.4,5G
102,37344,86,2025-06-10 10:15:45,4278.46,215.7,4G
103,49452,219,2026-04-28 16:02:27,806.97,262.1,5G
104,39831,246,2025-02-20 05:50:58,4439.69,91.0,3G
105,38306,30,2024-06-09 06:58:59,1506.34,287.6,3G
106,40689,321,2023-03-29 01:42:19,1214.83,202.4,5G
107,40277,23,2024-11-20 12:12:41,3995.97,170.8,5G
108,10069,80,2023-12-16 01:26:01,811.28,147.1,4G
109,1135,236,2025-03-05 00:14:01,2460.2,141.2,5G
110,18620,397,2024-12-29 03:59:33,740.58,265.4,5G
111,11820,200,2023-07-03 08:21:10,867.58,138.8,5G
112,32226,269,2025-04-20 13:19:43,3242.39,53.1,3G
113,5159,104,2023-01-16 21:06:25,1929.13,206.4,4G
114,15286,140,2023-02-28 04:23:15,3137.98,292.8,5G
115,28927,366,2025-07-13 15:57:59,23.66,42.4,3G
116,17342,36,2023-05-18 15:18:00,2146.82,230.6,3G
117,12647,321,2023-07-01 06:10:31,3457.95,194.1,3G
118,17514,430,2024-08-13 02:36:35,1534.89,110.8,3G
119,32041,249,2024-06-25 19:04:10,1715.85,73.8,4G
120,14263,323,2023-12-10 23:39:44,2386.75,154.7,4G
121,10640,112,2025-03-23 02:11:09,3508.57,83.1,3G
122,37807,447,2026-01-04 02:28:43,3508.64,135.4,5G
123,39137,144,2024-06-01 00:07:39,4627.39,46.0,3G
124,34871,82,2025-06-19 03:21:38,1733.39,83.2,5G
125,12122,385,2026-03-19 05:43:32,2150.11,106.3,3G
126,3010,327,2025-12-19 20:33:57,4908.71,33.1,5G
127,23155,485,2025-07-23 20:16:06,4213.63,172.8,3G
128,26440,286,2024-09-27 22:12:42,10.37,81.4,5G
129,42534,422,2025-03-19 01:27:35,3477.02,273.8,3G
130,19105,252,2026-01-13 01:28:58,1905.33,174.6,4G
131,8872,151,2025-09-15 01:39:17,774.4,24.2,3G
132,48078,327,2025-12-08 11:01:17,3030.74,242.2,4G
133,44409,98,2024-02-10 11:46:09,3027.1,251.3,3G
134,485,170,2024-05-23 19:19:58,1670.36,207.4,5G
135,5034,41,2023-07-30 07:27:28,2294.08,104.6,3G
136,6463,230,2023-02-13 19:21:01,3083.31,199.3,5G
137,13406,251,2026-01-20 23:10:39,4894.17,141.4,3G
138,46445,88,2025-07-28 00:27:05,522.74,198.4,5G
139,9800,371,2023-05-17 23:04:28,3139.31,176.2,4G
140,12708,406,2025-12-10 05:54:17,4940.5,133.1,5G
141,4773,111,2025-02-06 04:39:38,3981.66,125.7,5G
142,11856,296,2024-06-01 16:08:07,4588.59,15.9,5G
143,17963,44,2023-10-06 14:07:27,429.96,22.0,5G
144,30394,132,2023-06-11 06:48:15,649.0,175.1,3G
145,3403,131,2023-08-08 12:41:07,34.95,29.3,5G
146,18464,427,2023-10-16 22:17:14,3027.4,95.1,4G
147,37620,450,2024-09-12 10:38:06,2459.1,138.1,5G
148,47849,152,2023-11-25 20:06:43,3106.76,49.9,3G
149,20760,80,2025-03-01 22:39:15,2432.12,18.2,5G
150,31501,399,2023-06-06 12:08:19,159.11,50.8,5G
151,45790,146,2026-03-06 21:10:06,3460.91,160.3,5G
152,30738,25,2025-09-15 03:56:34,4329.22,256.9,3G
153,6152,466,2024-05-30 19:23:49,782.47,140.8,4G
154,24299,134,2025-07-15 21:41:40,2012.94,211.2,4G
155,4339,252,2023-09-07 00:34:28,350.51,249.4,3G
156,21568,367,2026-01-06 09:27:55,3065.26,214.7,5G
157,25112,287,2025-11-27 10:01:34,4050.9,224.2,4G
158,42692,155,2024-07-10 20:39:34,2325.26,296.3,5G
159,37208,319,2023-06-18 10:39:46,3387.61,289.0,5G
160,15170,398,2023-12-06 11:22:59,4222.38,278.4,3G
161,10603,407,2024-06-14 12:19:03,1273.4,6.7,4G
162,42876,342,2025-01-24 02:10:38,1470.58,205.4,4G
163,1492,440,2025-12-17 20:37:31,790.25,130.7,5G
164,41571,348,2024-12-06 10:09:29,4274.96,101.1,5G
165,20084,335,2024-05-24 01:27:14,1927.82,43.8,5G
166,12764,123,2024-06-15 03:16:06,4619.07,66.5,3G
167,42597,362,2024-01-11 05:45:56,2873.02,152.7,4G
168,22274,16,2023-02-12 01:43:30,2610.77,225.4,4G
169,1958,391,2025-07-12 09:40:03,1426.09,261.0,3G
170,36682,394,2025-04-10 20:18:17,4138.34,298.0,5G
171,39151,132,2025-05-09 01:55:15,3644.73,217.0,4G
172,3052,386,2023-10-05 00:47:15,4271.04,254.7,4G
173,46638,112,2025-04-17 03:25:36,3633.39,285.5,4G
174,13699,378,2025-07-05 01:42:34,4995.91,18.6,5G
175,17238,309,2025-07-30 06:15:37,4848.19,48.6,5G
176,29797,322,2024-08-05 04:42:16,4062.21,224.0,3G
177,47473,472,2026-03-19 01:19:31,1299.23,238.2,4G
178,21520,58,2023-09-08 06:40:03,1959.19,199.0,3G
179,30342,329,2025-04-06 01:47:31,842.68,245.8,3G
180,13778,237,2025-03-12 02:51:37,2782.12,129.6,3G
181,31009,284,2025-04-18 09:11:50,104.09,169.9,5G
182,2578,153,2025-07-26 22:52:58,2838.78,84.1,3G
183,4049,421,2026-05-20 05:44:06,4874.75,71.4,5G
184,19026,160,2025-04-26 14:15:40,3468.02,261.6,3G
185,13621,166,2026-03-23 20:37:34,1495.79,165.5,3G
186,24853,358,2023-09-12 18:37:02,4351.43,111.5,5G
187,36594,347,2023-05-16 15:03:33,913.54,39.3,5G
188,27648,145,2024-01-13 17:11:35,4465.43,214.8,4G
189,17873,115,2026-01-04 18:27:36,4663.21,14.1,3G
190,35832,448,2026-04-10 16:50:58,767.88,1.5,3G
191,19274,249,2026-03-04 20:23:10,2885.08,24.3,4G
192,42040,277,2025-04-25 15:52:05,537.06,2.4,5G
193,46588,39,2026-01-11 03:15:04,2267.17,248.0,4G
194,20392,85,2024-11-23 04:04:04,4623.65,207.9,3G
195,38224,26,2024-09-21 05:08:50,4797.18,155.9,5G
196,36970,484,2023-03-18 22:20:20,114.55,149.7,3G
197,23053,157,2024-04-28 03:26:33,910.41,215.8,5G
198,9977,212,2025-11-24 00:17:22,914.83,219.7,3G
199,13269,29,2025-11-21 05:19:16,2356.35,254.6,5G
200,36276,336,2023-02-07 11:41:07,893.2,178.9,3G
201,3363,219,2025-08-26 18:31:57,4607.61,279.2,4G
202,8238,319,2023-12-30 01:03:38,2643.57,190.9,5G
203,8413,402,2025-01-16 11:28:28,4466.95,207.2,5G
204,16372,51,2023-01-05 03:34:31,846.89,79.6,4G
205,40207,450,2024-11-19 00:42:01,735.08,24.7,4G
206,6262,305,2025-09-08 14:15:46,177.26,104.9,4G
207,35377,174,2023-04-28 16:42:53,1211.61,275.6,5G
208,9729,327,2026-06-15 16:22:04,3402.79,220.4,5G
209,7556,235,2024-09-26 23:56:16,2687.74,51.6,3G
210,40649,321,2023-05-15 19:58:53,1862.34,147.8,5G
211,5477,127,2023-12-03 01:44:26,3293.03,103.9,3G
212,24719,234,2026-07-26 05:25:33,466.06,255.1,4G
213,8332,452,2023-12-13 20:16:59,3624.76,97.7,5G
214,37987,61,2026-01-17 02:10:36,1475.83,123.3,5G
215,7093,336,2024-09-30 19:09:28,3473.33,25.3,4G
216,5824,122,2024-08-06 17:23:16,1606.3,136.5,5G
217,45238,47,2024-02-19 13:47:48,1511.15,190.5,5G
218,16928,409,2023-09-28 03:30:40,3357.88,13.7,5G
219,15694,254,2023-11-30 18:12:43,3972.47,57.0,3G
220,9514,472,2023-11-08 05:12:02,826.68,204.6,5G
221,18784,295,2025-09-29 07:41:39,3784.39,112.2,4G
222,20205,383,2025-03-11 10:58:48,3435.36,248.5,4G
223,46879,151,2025-06-09 19:00:26,4467.57,113.3,4G
224,35679,397,2024-02-26 00:55:59,2622.13,210.8,4G
225,12311,156,2023-02-07 20:34:09,3104.09,291.7,3G
226,9243,75,2026-06-25 12:46:32,3082.27,158.2,3G
227,48867,268,2026-06-06 11:03:07,2115.99,81.8,5G
228,23699,77,2024-12-13 12:54:55,2199.57,95.5,3G
229,16800,454,2023-06-17 23:43:00,4907.02,145.4,4G
230,24265,335,2024-02-02 18:08:34,4761.35,120.9,3G
231,35632,390,2025-05-09 16:16:07,1724.75,165.5,3G
232,48653,446,2024-02-19 06:22:34,2383.8,161.1,5G
233,4592,369,2025-06-20 18:07:46,303.18,112.9,5G
234,1316,374,2025-10-09 09:21:36,439.68,145.9,4G
235,12253,288,2025-10-14 09:40:27,1776.16,241.5,4G
236,27719,75,2023-01-23 07:17:09,1437.02,32.3,5G
237,18432,387,2025-09-21 19:45:26,2465.68,196.1,3G
238,20903,167,2023-10-12 04:41:46,2317.39,291.3,4G
239,4254,461,2024-12-12 07:53:13,1837.06,230.0,3G
240,20612,62,2024-11-09 09:51:40,1772.02,214.1,4G
241,1235,275,2023-09-30 05:36:13,4595.87,79.2,4G
242,1101,216,2024-10-02 13:14:29,2502.57,140.9,5G
243,2738,383,2023-09-17 19:55:58,3633.58,201.4,3G
244,10672,91,2026-06-13 03:00:11,1265.2,181.3,3G
245,19133,11,2023-02-14 20:48:07,2488.32,146.9,4G
246,5200,421,2023-06-25 18:31:49,3606.1,74.0,5G
247,49193,85,2026-06-06 22:34:09,2298.25,155.5,5G
248,2218,215,2023-09-15 07:35:36,1476.93,169.3,3G
249,22343,173,2025-01-16 20:15:44,2313.78,273.6,4G
250,2594,133,2026-03-04 17:17:36,2405.36,273.5,5G
251,17553,90,2025-01-14 20:29:21,1330.27,256.8,3G
252,12510,67,2025-09-22 01:58:09,350.35,110.7,4G
253,48171,193,2026-05-21 09:23:22,4772.66,20.6,3G
254,18510,419,2025-03-08 00:03:03,1835.76,228.2,3G
255,40726,312,2026-04-09 01:40:37,234.75,181.9,4G
256,5961,85,2024-07-03 21:33:06,1112.76,285.6,5G
257,13838,463,2024-05-06 10:56:54,3148.65,39.2,3G
258,41701,216,2024-11-06 13:54:21,1216.8,240.7,5G
259,39263,486,2024-05-09 06:15:07,1658.69,9.5,5G
260,7563,106,2025-01-26 00:43:25,4365.29,26.7,3G
261,18190,64,2026-02-17 17:42:07,2824.86,162.3,5G
262,22786,465,2025-07-11 01:00:48,4718.07,51.3,5G
263,15565,255,2025-01-11 18:46:04,1959.07,24.4,4G
264,11328,188,2023-05-25 12:37:19,4643.38,234.2,5G
265,43398,315,2024-03-17 18:20:18,907.55,246.5,3G
266,12361,347,2026-07-01 02:05:23,3376.47,251.0,3G
267,2542,276,2024-05-07 15:53:31,3941.72,260.8,5G
268,10409,326,2025-07-26 11:22:28,835.09,294.2,4G
269,672,430,2023-06-24 21:38:27,4184.85,193.6,5G
270,20795,318,2024-10-14 03:47:18,3042.45,77.7,4G
271,16109,446,2023-03-03 03:36:22,1950.96,85.3,4G
272,41258,352,2023-12-16 21:39:31,4676.85,157.0,4G
273,17596,448,2023-03-16 04:20:02,1668.6,86.3,4G
274,37787,27,2023-07-31 23:45:15,4724.66,276.2,4G
275,16606,464,2025-11-07 06:25:43,820.09,6.4,5G
276,46742,339,2024-12-08 03:13:43,4042.09,217.0,5G
277,8669,249,2024-06-13 14:42:32,3349.37,101.4,4G
278,14894,211,2024-09-16 17:06:21,1202.07,49.5,4G
279,17665,113,2025-08-13 06:56:11,442.82,267.1,4G
280,41632,250,2024-05-27 02:11:25,2643.85,9.2,4G
281,26421,165,2025-11-17 00:07:47,1086.62,215.7,3G
282,41251,234,2024-01-09 01:12:53,3109.49,207.7,3G
283,1033,113,2026-06-10 00:32:54,4487.87,114.3,5G
284,42965,2,2025-09-14 18:31:30,1105.8,191.8,5G
285,20492,96,2026-02-07 13:59:39,1420.61,97.9,4G
286,23783,181,2026-05-18 23:15:03,3209.62,108.0,5G
287,25483,41,2023-07-20 05:27:50,2316.93,297.6,3G
288,24646,330,2024-07-05 17:17:42,4172.98,138.7,4G
289,1035,254,2024-06-13 18:58:20,2971.23,112.7,5G
290,41920,128,2025-02-01 08:40:59,2478.29,164.2,3G
291,2871,126,2025-01-07 16:41:21,366.72,187.5,4G
292,14096,199,2025-08-07 01:06:25,2622.68,238.8,5G
293,47931,487,2023-02-14 04:23:06,2250.94,56.1,3G
294,22190,360,2024-03-02 01:15:34,3352.86,100.8,5G
295,28646,243,2025-08-25 23:04:30,1730.25,24.8,4G
296,1311,294,2024-06-20 21:45:16,4595.73,108.6,4G
297,43773,239,2023-02-03 15:33:10,3970.82,45.2,4G
298,24293,386,2024-06-22 19:35:50,4701.38,251.1,5G
299,5370,135,2024-02-09 02:37:23,4210.63,118.6,4G
300,33494,189,2026-02-07 19:12:07,975.57,117.0,5G
301,44085,368,2023-01-10 21:05:23,2092.59,158.9,3G
302,36777,47,2025-08-10 22:13:20,1314.37,75.6,3G
303,4425,450,2023-01-23 00:26:11,3408.28,13.6,4G
304,40248,94,2025-06-28 13:30:00,1145.94,255.8,5G
305,29350,78,2024-02-05 06:41:30,1979.59,80.4,5G
306,15574,81,2026-05-26 03:39:16,4088.93,188.6,4G
307,16821,187,2023-12-07 19:23:45,641.05,258.1,3G
308,11045,193,2024-12-09 02:44:10,244.69,104.1,3G
309,18529,212,2023-02-13 22:56:33,273.61,6.6,3G
310,41659,231,2026-06-05 15:49:15,4196.8,10.6,5G
311,22066,72,2023-09-08 16:39:25,3279.53,107.2,5G
312,27089,283,2023-05-10 15:35:04,4100.54,113.8,3G
313,5609,284,2025-07-26 22:18:42,837.16,73.6,4G
314,28777,137,2026-03-01 15:23:05,99.76,56.9,3G
315,3326,194,2025-01-30 18:54:44,1288.95,11.1,5G
316,535,186,2023-06-02 03:18:39,1311.84,120.2,4G
317,26751,315,2024-01-04 19:51:11,1001.28,88.8,4G
318,36382,420,2026-04-14 03:50:59,284.23,98.7,4G
319,6389,216,2024-10-20 11:16:20,1216.33,253.5,3G
320,1633,79,2023-01-02 18:37:12,3244.72,111.7,5G
321,6241,253,2026-07-20 21:18:13,4711.67,93.7,4G
322,29033,322,2024-05-10 16:09:14,3335.61,180.8,4G
323,21670,357,2024-09-18 03:55:22,4215.2,267.3,3G
324,28074,36,2026-03-01 14:53:20,3343.06,85.2,4G
325,38152,483,2023-01-26 01:05:26,1180.11,144.2,3G
326,27657,495,2025-08-02 10:46:37,1798.38,279.1,3G
327,44033,235,2025-05-29 21:48:36,4010.04,248.2,4G
328,18451,46,2023-06-27 21:56:44,4396.39,13.2,4G
329,11220,310,2025-08-18 04:55:02,1260.05,81.8,4G
330,29342,27,2024-10-12 11:24:44,2474.36,14.9,4G
331,7136,122,2024-03-12 06:51:21,255.09,277.1,4G
332,44219,281,2024-09-30 09:05:30,4646.31,119.5,4G
333,23797,198,2023-07-12 22:19:28,301.46,78.4,5G
334,15019,354,2024-05-02 11:38:28,4435.88,223.8,4G
335,47786,51,2024-01-16 09:38:58,3030.15,95.0,3G
336,22896,105,2025-11-28 02:47:57,2617.02,105.7,3G
337,28203,339,2023-03-25 16:32:23,2038.83,223.7,5G
338,29322,413,2023-01-11 07:57:40,3227.82,262.3,4G
339,48914,476,2024-12-22 08:21:49,749.26,224.8,4G
340,9875,37,2023-03-26 07:11:42,3415.73,240.3,5G
341,9856,125,2026-04-22 15:40:45,1596.24,25.7,3G
342,44606,35,2026-03-29 15:27:48,502.71,288.2,3G
343,39015,162,2024-05-14 21:57:40,3771.23,202.9,4G
344,44475,385,2024-03-01 17:35:28,3015.44,37.6,3G
345,42312,189,2023-12-20 09:31:28,4257.72,73.4,3G
346,6082,185,2023-06-19 17:43:32,1091.32,145.5,5G
347,1981,265,2026-05-03 14:05:08,271.6,60.6,5G
348,9651,257,2023-03-28 15:37:28,4600.24,175.4,5G
349,42741,334,2024-10-23 20:46:43,2866.13,99.7,3G
350,4904,361,2025-11-07 22:56:44,2956.58,179.8,5G
351,43742,309,2025-02-13 15:52:03,1672.2,189.0,3G
352,10519,27,2024-04-07 07:38:11,4688.39,287.6,5G
353,2888,256,2026-05-17 00:56:39,3562.36,269.6,3G
354,33702,6,2023-04-13 22:41:44,4325.86,149.4,3G
355,37924,472,2026-01-07 06:55:49,2038.26,203.6,4G
356,36619,457,2026-04-26 17:09:27,2570.36,30.4,4G
357,46907,194,2025-04-18 14:09:35,2420.08,147.7,5G
358,27818,346,2024-06-25 01:33:18,3941.22,138.0,3G
359,8725,414,2024-05-03 11:50:03,460.66,24.8,4G
360,34889,245,2024-10-11 08:37:35,194.93,142.9,4G
361,15356,81,2026-05-10 02:42:37,4517.78,150.4,4G
362,32038,78,2023-07-27 16:49:35,2793.87,7.1,3G
363,19513,61,2023-03-26 00:10:10,3577.35,127.2,3G
364,4106,255,2025-11-23 05:14:28,3012.23,83.6,5G
365,11395,101,2023-07-12 09:00:57,610.01,134.4,4G
366,21694,286,2024-12-23 03:25:42,4765.09,233.0,5G
367,1408,329,2023-01-06 11:52:48,1267.92,228.6,4G
368,6213,46,2025-02-07 13:00:34,2436.87,275.2,3G
369,6974,293,2025-11-19 09:01:38,3669.91,241.2,3G
370,4309,312,2023-03-17 12:50:34,1435.72,203.2,5G
371,9711,230,2026-06-04 07:46:16,1552.62,38.4,4G
372,16773,279,2024-10-07 08:42:51,897.97,141.1,3G
373,48111,499,2023-09-25 23:53:30,1698.19,112.1,4G
374,47185,375,2023-06-01 11:59:40,866.97,244.8,3G
375,38027,167,2024-01-03 08:14:12,3677.53,30.3,4G
376,43920,17,2023-06-29 08:39:19,1792.48,270.7,3G
377,13130,417,2025-03-06 07:38:38,914.52,170.8,4G
378,44323,112,2024-01-08 22:35:36,566.61,150.9,5G
379,26528,144,2024-06-11 22:33:16,1094.56,235.2,3G
380,1539,424,2025-12-06 09:27:29,3559.92,255.0,3G
381,16056,87,2024-07-17 01:22:47,919.61,123.8,4G
382,15524,213,2023-10-28 22:32:15,739.63,46.2,4G
383,28416,294,2024-08-12 00:23:38,662.89,55.6,4G
384,43217,187,2024-08-25 01:02:44,4704.86,180.3,5G
385,33626,475,2024-09-04 16:02:58,4693.25,289.3,5G
386,49883,342,2023-06-30 07:43:47,809.07,179.7,5G
387,29568,50,2025-09-13 17:44:01,3697.52,206.7,5G
388,28335,32,2024-03-26 12:15:58,888.3,75.7,5G
389,6718,468,2023-08-06 04:56:49,81.63,86.0,3G
390,13377,211,2025-01-25 21:21:25,4992.35,184.6,5G
391,28689,484,2024-04-16 18:28:23,4075.35,24.9,5G
392,18266,417,2025-01-05 10:32:40,2956.51,55.0,4G
393,9403,342,2024-06-18 18:52:58,181.43,88.4,5G
394,26983,203,2025-11-21 14:13:04,3084.02,249.7,4G
395,9988,62,2024-01-31 08:05:35,4898.03,253.8,5G
396,5005,358,2023-08-15 12:28:40,2687.13,118.5,3G
397,41462,477,2023-09-16 10:02:22,2111.51,43.3,4G
398,9825,163,2023-01-08 00:05:50,2152.18,201.4,5G
399,19550,108,2024-12-07 12:35:35,957.95,293.1,5G
400,44115,165,2024-05-03 06:26:59,3787.16,109.4,3G
401,32344,255,2023-02-09 02:25:36,3824.45,120.8,4G
402,9034,381,2024-11-27 13:30:12,2969.48,171.7,5G
403,35474,208,2025-08-26 09:47:54,4900.96,62.3,4G
404,22909,372,2023-08-03 02:09:20,305.29,217.8,4G
405,12373,432,2023-10-08 10:36:51,125.46,291.7,4G
406,22054,451,2024-10-24 01:47:13,2734.08,291.2,3G
407,2482,279,2024-10-27 18:21:22,2279.71,289.7,5G
408,17433,142,2023-05-01 19:07:20,1415.78,58.0,4G
409,29005,400,2023-01-15 03:56:49,2398.93,101.5,5G
410,29879,467,2026-03-11 22:57:59,749.14,280.2,3G
411,3211,435,2025-01-31 19:58:31,3071.75,94.3,4G
412,15338,310,2024-06-04 00:28:24,1606.35,110.3,4G
413,48540,390,2026-03-14 11:39:28,137.39,194.2,4G
414,21658,378,2023-10-12 21:31:46,3793.7,264.7,3G
415,12305,163,2024-07-06 06:36:29,250.3,264.2,5G
416,15988,323,2026-07-08 19:04:25,4498.26,222.9,3G
417,37688,453,2026-07-02 21:47:54,1088.93,45.6,5G
418,46129,4,2023-07-04 12:26:06,3182.2,116.3,5G
419,17276,109,2023-04-27 11:13:08,191.25,188.2,3G
420,7793,333,2023-01-29 17:54:05,926.59,25.8,4G
421,38144,279,2023-02-11 01:35:45,2039.3,193.0,4G
422,47701,94,2023-10-24 23:32:06,1121.93,241.3,3G
423,34023,262,2026-01-05 22:58:49,306.22,101.9,3G
424,48996,118,2025-01-03 21:51:49,2933.99,246.7,3G
425,25501,192,2024-08-30 00:09:19,4435.36,225.5,3G
426,14616,126,2023-12-18 23:01:32,46.32,19.9,3G
427,36488,461,2024-09-19 15:07:06,4637.75,217.2,3G
428,29228,185,2023-06-15 16:41:04,335.61,156.5,5G
429,46362,327,2024-07-12 00:34:23,4320.36,141.1,5G
430,38800,444,2023-11-03 20:34:42,614.69,285.3,3G
431,35596,421,2023-09-12 07:18:19,3024.15,86.6,5G
432,10666,151,2025-09-10 16:38:31,3254.2,62.2,3G
433,1753,477,2026-01-04 00:16:48,631.88,176.4,4G
434,29906,138,2025-06-29 00:59:46,4741.85,199.7,4G
435,39305,163,2023-06-12 05:01:22,1134.03,62.6,4G
436,29216,278,2025-01-19 08:07:29,2829.66,9.2,5G
437,49511,318,2024-09-12 05:32:11,2023.97,260.8,5G
438,14138,448,2024-09-04 04:17:12,1738.49,20.2,4G
